num,KawadaAI,Player,ShiraiAI,TakahashiAI,Player
0,100,100,100,100,100
1,98,118,98,88,98
2,96,86,146,76,96
3,94,114,134,64,94
4,92,82,134,42,150
5,91,80,122,57,150
6,91,79,135,45,150
7,89,87,133,43,148
8,87,55,180,42,136
9,85,43,180,57,135
10,84,21,217,55,123
11,122,9,205,53,111
12,120,0,234,35,111
13,118,0,234,23,125
14,118,0,234,23,124
15,117,0,212,11,159
16,118,0,211,13,157
17,116,0,211,1,171
18,114,0,214,1,170
19,233,0,265,1,0
20,231,0,268,0,0
21,233,0,266,0,0
22,233,0,266,0,0
23,235,0,264,0,0
24,236,0,263,0,0
25,238,0,261,0,0
26,239,0,260,0,0
27,239,0,260,0,0
28,240,0,259,0,0
29,238,0,261,0,0
30,239,0,260,0,0
31,241,0,258,0,0
32,242,0,257,0,0
33,240,0,259,0,0
34,241,0,258,0,0
35,243,0,256,0,0
36,244,0,255,0,0
37,242,0,257,0,0
38,244,0,255,0,0
39,244,0,255,0,0
40,246,0,253,0,0
41,244,0,255,0,0
42,246,0,253,0,0
43,244,0,255,0,0
44,246,0,253,0,0
45,244,0,255,0,0
46,246,0,253,0,0
47,244,0,255,0,0
48,245,0,254,0,0
49,319,0,180,0,0
50,320,0,179,0,0
51,318,0,181,0,0
52,319,0,180,0,0
53,319,0,180,0,0
54,11,0,488,0,0
55,9,0,490,0,0
56,10,0,489,0,0
57,12,0,487,0,0
58,14,0,485,0,0
59,12,0,487,0,0
60,14,0,485,0,0
61,0,0,499,0,0
